Site_Location,Date,Quadrat_nb,Den_total_m2,LAI_m2_per_m2
L3F,4/2/2019,1,192,0.749125689
L3F,4/2/2019,2,128,0.386069333
L3F,4/2/2019,3,256,0.770208237
L3F,4/2/2019,4,320,0.893923556
L3F,4/2/2019,5,160,0.315647704
L3F,4/2/2019,6,160,0.395808
L3F,4/2/2019,7,128,0.382140681
L3F,4/2/2019,8,192,0.480308978
L3F,4/2/2019,9,144,0.486012
L3F,4/2/2019,10,128,0.311519289
L3F,4/2/2019,11,176,NA
L3F,4/2/2019,12,128,NA
L3F,4/2/2019,13,160,NA
L3F,4/2/2019,14,128,NA
L3F,4/2/2019,15,80,NA
L3F,4/2/2019,16,96,NA
L3F,4/2/2019,17,64,NA
L3F,4/2/2019,18,80,NA
L3F,4/2/2019,19,96,NA
L3F,4/2/2019,20,144,NA
L3F,9/5/2018,1,208,2.501650667
L3F,9/5/2018,2,372,2.786073333
L3F,9/5/2018,3,224,2.065416059
L3F,9/5/2018,4,300,4.664195556
L3F,9/5/2018,5,188,2.2813612
L3F,9/5/2018,6,276,2.408437333
L3F,9/5/2018,7,264,2.799349667
L3F,9/5/2018,8,284,3.177380167
L3F,9/5/2018,9,240,3.46244
L3F,9/5/2018,10,360,4.575627333
L3F,8/8/2018,1,224,NA
L3F,8/8/2018,2,252,3.940118
L3F,8/8/2018,3,344,4.561287111
L3F,8/8/2018,4,292,NA
L3F,8/8/2018,5,220,3.620926833
L3F,8/8/2018,6,376,4.510342467
L3F,8/8/2018,7,420,4.629912
L3F,8/8/2018,8,460,8.249926222
L3F,8/8/2018,9,696,13.87377787
L3F,8/8/2018,10,316,5.157023444
L3F,7/9/2018,1,304,2.443011556
L3F,7/9/2018,2,208,2.173990963
L3F,7/9/2018,3,464,3.740376178
L3F,7/9/2018,4,684,5.421498
L3F,7/9/2018,5,856,9.015154222
L3F,7/9/2018,6,808,9.763322111
L3F,7/9/2018,7,556,6.159902378
L3F,7/9/2018,8,496,6.43100557
L3F,7/9/2018,9,520,5.92878
L3F,7/9/2018,20,440,NA
L3F,5/10/2018,1,464,5.568464
L3F,5/10/2018,2,272,2.657201244
L3F,5/10/2018,3,480,3.665502222
L3F,5/10/2018,4,464,3.10598163
L3F,5/10/2018,5,336,2.251829067
L3F,5/10/2018,6,560,4.389354667
L3F,5/10/2018,7,480,3.939299556
L3F,5/10/2018,8,448,3.953069037
L3F,5/10/2018,9,432,4.181848
L3F,5/10/2018,10,292,1.917131948
L3F,6/12/2018,1,380,7.45807
L3F,6/12/2018,2,328,3.885640459
L3F,6/12/2018,3,320,2.46209363
L3F,6/12/2018,4,316,3.904449185
L3F,6/12/2018,5,472,6.629114133
L3F,6/12/2018,6,380,6.23998
L3F,6/12/2018,7,412,5.013203793
L3F,6/12/2018,8,456,8.806774444
L3F,6/12/2018,9,436,6.414533733
L3F,6/12/2018,10,296,4.562583467
L3F,10/15/2018,1,352,1.968548267
L3F,10/15/2018,2,384,3.600494933
L3F,10/15/2018,3,272,2.240907259
L3F,10/15/2018,4,304,2.826801422
L3F,10/15/2018,5,256,1.465127348
L3F,10/15/2018,6,256,1.440073956
L3F,10/15/2018,7,176,1.171997037
L3F,10/15/2018,8,256,1.086739911
L3F,10/15/2018,9,128,1.448149333
L3F,10/15/2018,10,160,1.386248889
L3F,6/26/2019,1,292,3.827049333
L3F,6/26/2019,2,260,4.44189537
L3F,6/26/2019,3,196,2.970558578
L3F,6/26/2019,4,176,2.569905067
L3F,6/26/2019,5,184,4.255682844
L3F,6/26/2019,6,112,1.513991111
L3F,6/26/2019,7,220,4.409276667
L3F,6/26/2019,8,304,6.635576889
L3F,6/26/2019,9,336,3.118607644
L3F,6/26/2019,10,240,4.416616
L3F,11/28/2018,1,128,1.967363793
L3F,11/28/2018,2,160,1.898580444
PH,9/4/2018,1,880,8.699249778
PH,9/4/2018,2,656,6.089702667
PH,9/4/2018,3,416,2.933710578
PH,9/4/2018,4,720,7.262077333
PH,9/4/2018,5,528,7.239950667
PH,9/4/2018,6,560,6.508351111
PH,9/4/2018,7,384,4.946855822
PH,9/4/2018,8,624,5.211268978
PH,9/4/2018,9,592,5.975341037
PH,9/4/2018,10,608,6.785009778
PH,12/6/2018,1,320,1.277184
PH,12/6/2018,2,288,1.9250608
PH,12/6/2018,3,384,2.604197689
PH,12/6/2018,4,336,2.087770533
PH,12/6/2018,5,208,0.9206912
PH,12/6/2018,6,352,1.05386877
PH,12/6/2018,7,160,0.553557333
PH,12/6/2018,8,400,2.431644444
PH,8/7/2018,1,464,2.060732267
PH,8/7/2018,2,576,4.183656533
PH,8/7/2018,3,416,3.724269274
PH,8/7/2018,4,820,10.17715667
PH,8/7/2018,5,576,4.636736
PH,8/7/2018,6,656,5.463068385
PH,8/7/2018,7,768,6.9552
PH,8/7/2018,8,848,7.965193333
PH,8/7/2018,9,608,4.498528948
PH,8/7/2018,10,944,7.775846
PH,7/9/2019,1,408,5.400866
PH,7/9/2019,2,384,4.42416
PH,7/9/2019,3,376,4.476037689
PH,7/9/2019,4,384,6.036878222
PH,7/9/2019,5,428,5.655187778
PH,7/9/2019,6,336,5.3925088
PH,7/9/2019,7,272,4.269481244
PH,7/9/2019,8,336,4.51724
PH,7/9/2019,9,336,5.828168889
PH,7/9/2019,10,264,2.858372978
PH,4/11/2019,1,304,0.543796889
PH,4/11/2019,2,240,0.365242222
PH,4/11/2019,3,240,0.38628
PH,4/11/2019,4,256,0.506151822
PH,4/11/2019,5,336,0.480287111
PH,4/11/2019,6,192,0.325656178
PH,4/11/2019,7,128,0.298826667
PH,6/11/2018,1,272,1.492312889
PH,6/11/2018,2,212,1.615339496
PH,6/11/2018,3,148,0.875995556
PH,6/11/2018,4,144,1.092138667
PH,6/11/2018,5,240,1.657744
PH,6/11/2018,6,272,1.855592059
PH,6/11/2018,7,256,1.189888
PH,6/11/2018,8,176,1.020560119
PH,6/11/2018,9,144,0.893742133
PH,6/11/2018,10,336,2.918102133
PH,7/12/2018,1,368,3.184355793
PH,7/12/2018,2,464,2.849753956
PH,7/12/2018,3,304,2.103788089
PH,7/12/2018,4,352,2.327268859
PH,7/12/2018,5,336,1.285437689
PH,7/12/2018,6,372,1.7350762
PH,7/12/2018,7,448,2.320686459
PH,7/12/2018,8,384,2.252741689
PH,7/12/2018,9,420,2.337365333
PH,7/12/2018,10,400,1.977973333
PH,5/14/2018,1,272,1.115236267
PH,5/14/2018,2,160,0.915627556
PH,5/14/2018,3,384,1.410025244
PH,5/14/2018,4,272,1.656411496
PH,5/14/2018,5,256,1.408806874
PH,5/14/2018,6,320,1.22067437
PH,5/14/2018,7,256,1.368607289
PH,5/14/2018,8,272,1.519533037
PH,5/14/2018,9,352,2.078398341
PH,5/14/2018,10,496,1.4167744
PH,10/23/2018,1,224,1.616891733
PH,10/23/2018,2,320,1.51117037
PH,10/23/2018,3,256,1.485878044
PH,10/23/2018,4,352,2.009552356
PH,10/23/2018,5,352,1.150822933
PH,10/23/2018,6,416,2.768471526
PH,10/23/2018,7,384,2.803626667
PH,10/23/2018,8,272,2.036443852
PH,10/23/2018,9,320,2.937130667
PH,10/23/2018,10,432,2.1921504
Sambro Deep,7/4/2019,1,164,1.457821511
Sambro Deep,7/4/2019,2,288,4.5574528
Sambro Deep,7/4/2019,3,264,2.698596267
Sambro Deep,7/4/2019,4,364,4.76593963
Sambro Deep,7/4/2019,5,292,3.275412667
Sambro Deep,7/4/2019,6,272,4.283383467
Sambro Deep,7/4/2019,7,168,3.147134667
Sambro Deep,8/9/2018,1,132,1.772345667
Sambro Deep,8/9/2018,2,116,2.897203111
Sambro Deep,8/9/2018,3,184,3.540061867
Sambro Deep,8/9/2018,4,164,3.319447467
Sambro Deep,8/9/2018,5,164,3.711980556
Sambro Deep,8/9/2018,6,116,1.745354904
Sambro Deep,8/9/2018,7,200,3.851827778
Sambro Deep,8/9/2018,8,180,4.115772
Sambro Deep,8/9/2018,9,296,5.461062963
Sambro Deep,8/9/2018,10,232,4.6973504
Sambro Deep,12/11/2018,1,192,1.994849422
Sambro Deep,12/11/2018,2,320,5.12968
Sambro Deep,12/11/2018,3,240,2.788374333
Sambro Deep,12/11/2018,4,288,3.28460544
Sambro Deep,12/11/2018,5,224,NA
Sambro Deep,12/11/2018,6,352,NA
Sambro Deep,12/11/2018,7,240,NA
Sambro Deep,12/11/2018,8,256,NA
Sambro Deep,7/16/2018,1,192,2.4116672
Sambro Deep,7/16/2018,2,180,3.152017667
Sambro Deep,7/16/2018,3,164,2.072823941
Sambro Deep,7/16/2018,4,136,2.666257333
Sambro Deep,7/16/2018,5,184,2.905854074
Sambro Deep,7/16/2018,6,188,2.479020919
Sambro Deep,7/16/2018,7,140,2.642342111
Sambro Deep,7/16/2018,8,160,1.591477037
Sambro Deep,7/16/2018,9,288,5.64576
Sambro Deep,7/16/2018,10,180,2.739799333
Sambro Deep,5/17/2018,1,96,0.8597792
Sambro Deep,5/17/2018,2,144,0.71492736
Sambro Deep,5/17/2018,3,160,0.975540148
Sambro Deep,5/17/2018,4,144,1.0632192
Sambro Deep,5/17/2018,5,96,0.520016
Sambro Deep,5/17/2018,6,272,2.273444504
Sambro Deep,5/17/2018,7,112,0.964600415
Sambro Deep,5/17/2018,8,176,1.306290252
Sambro Deep,5/17/2018,9,192,0.932176
Sambro Deep,5/17/2018,10,128,0.615293156
Sambro Deep,9/17/2018,1,164,4.027942044
Sambro Deep,9/17/2018,2,176,5.527724889
Sambro Deep,9/17/2018,3,216,5.579502
Sambro Deep,9/17/2018,4,188,4.937261222
Sambro Deep,9/17/2018,5,120,3.977233333
Sambro Deep,9/17/2018,6,216,7.4554248
Sambro Deep,9/17/2018,7,248,5.483927556
Sambro Deep,9/17/2018,8,128,4.853703111
Sambro Deep,9/17/2018,9,208,7.250189748
Sambro Deep,9/17/2018,10,192,5.219205333
Sambro Deep,6/20/2018,1,112,1.261847793
Sambro Deep,6/20/2018,2,264,2.760110222
Sambro Deep,6/20/2018,4,256,3.662240711
Sambro Deep,6/20/2018,5,212,1.888150519
Sambro Deep,6/20/2018,6,164,2.995093733
Sambro Deep,6/20/2018,7,176,3.1526704
Sambro Deep,6/20/2018,8,124,2.1014528
Sambro Deep,6/20/2018,9,168,3.438907111
Sambro Deep,6/20/2018,10,104,1.415650311
Sambro Deep,4/26/2019,1,112,0.783561541
Sambro Deep,4/26/2019,2,80,0.465845333
Sambro Deep,4/26/2019,3,144,0.837024
Sambro Deep,4/26/2019,4,208,1.361667378
Sambro Deep,4/26/2019,5,128,0.986549096
Sambro Deep,4/26/2019,6,192,1.447061333
Sambro Deep,10/29/2018,1,208,3.506892711
Sambro Deep,10/29/2018,2,164,4.125687867
Sambro Deep,10/29/2018,3,112,2.023339733
Sambro Deep,10/29/2018,4,152,2.939855644
Sambro Deep,10/29/2018,5,136,3.044266311
Sambro Deep,10/29/2018,6,212,5.403997778
Sambro Deep,10/29/2018,7,172,4.856828978
Sambro Deep,10/29/2018,8,116,2.469410041
Sambro Shallow,7/4/2019,1,256,1.911566222
Sambro Shallow,7/4/2019,2,256,1.894157274
Sambro Shallow,7/4/2019,3,408,3.273163378
Sambro Shallow,7/4/2019,4,428,3.05053037
Sambro Shallow,7/4/2019,5,444,5.417457778
Sambro Shallow,7/4/2019,6,236,2.059933867
Sambro Shallow,7/4/2019,7,272,2.364522193
Sambro Shallow,7/4/2019,8,332,4.312159867
Sambro Shallow,7/4/2019,9,240,2.61678
Sambro Shallow,7/4/2019,10,288,3.170088
Sambro Shallow,8/9/2018,1,500,8.107244444
Sambro Shallow,8/9/2018,2,304,4.598878222
Sambro Shallow,8/9/2018,3,572,10.45709956
Sambro Shallow,8/9/2018,4,480,6.634533333
Sambro Shallow,8/9/2018,5,752,9.334091378
Sambro Shallow,8/9/2018,6,568,7.328414889
Sambro Shallow,8/9/2018,7,432,5.782032
Sambro Shallow,8/9/2018,8,344,5.317024533
Sambro Shallow,8/9/2018,9,228,3.348857667
Sambro Shallow,8/9/2018,10,324,3.437442
Sambro Shallow,12/11/2018,1,192,1.593102874
Sambro Shallow,12/11/2018,2,448,5.559361422
Sambro Shallow,12/11/2018,3,256,2.120493511
Sambro Shallow,12/11/2018,4,320,3.55912192
Sambro Shallow,12/11/2018,5,224,2.424093156
Sambro Shallow,12/11/2018,6,208,2.292112669
Sambro Shallow,12/11/2018,7,288,NA
Sambro Shallow,12/11/2018,8,384,NA
Sambro Shallow,7/16/2018,2,656,4.976620089
Sambro Shallow,7/16/2018,3,620,5.701485556
Sambro Shallow,7/16/2018,4,500,5.303433333
Sambro Shallow,7/16/2018,5,596,4.798843
Sambro Shallow,7/16/2018,6,692,6.834307333
Sambro Shallow,7/16/2018,8,620,5.124213889
Sambro Shallow,7/16/2018,9,656,6.545786667
Sambro Shallow,5/17/2018,1,256,2.5709824
Sambro Shallow,5/17/2018,2,688,3.831288533
Sambro Shallow,5/17/2018,3,224,1.530752948
Sambro Shallow,5/17/2018,4,292,1.582510222
Sambro Shallow,5/17/2018,5,272,2.19028
Sambro Shallow,5/17/2018,6,256,1.678234548
Sambro Shallow,5/17/2018,7,288,1.544597333
Sambro Shallow,5/17/2018,8,368,2.37807597
Sambro Shallow,5/17/2018,9,592,3.411564444
Sambro Shallow,5/17/2018,10,384,1.9709312
Sambro Shallow,9/17/2018,1,420,4.23367
Sambro Shallow,9/17/2018,2,520,6.672264444
Sambro Shallow,9/17/2018,3,528,7.779610667
Sambro Shallow,9/17/2018,4,644,9.630900741
Sambro Shallow,9/17/2018,5,696,11.49347333
Sambro Shallow,9/17/2018,6,444,8.018800333
Sambro Shallow,9/17/2018,7,452,6.422457956
Sambro Shallow,9/17/2018,8,504,9.7079472
Sambro Shallow,9/17/2018,9,488,8.377984
Sambro Shallow,9/17/2018,10,492,8.038255
Sambro Shallow,6/20/2018,1,452,3.220125844
Sambro Shallow,6/20/2018,2,240,1.542527111
Sambro Shallow,6/20/2018,3,500,2.997166667
Sambro Shallow,6/20/2018,5,508,1.763592556
Sambro Shallow,6/20/2018,6,484,2.260804333
Sambro Shallow,6/20/2018,7,712,3.596591526
Sambro Shallow,6/20/2018,8,616,5.995607852
Sambro Shallow,6/20/2018,10,688,5.372923259
Sambro Shallow,4/26/2019,1,320,0.87568
Sambro Shallow,4/26/2019,2,336,0.959730489
Sambro Shallow,4/26/2019,3,320,0.781546667
Sambro Shallow,4/26/2019,4,192,0.7017984
Sambro Shallow,4/26/2019,5,128,0.394365156
Sambro Shallow,4/26/2019,6,160,0.836718815
Sambro Shallow,10/29/2018,1,228,4.982617422
Sambro Shallow,10/29/2018,2,260,4.041707704
Sambro Shallow,10/29/2018,3,328,4.2888296
Sambro Shallow,10/29/2018,4,428,6.38579745
Sambro Shallow,10/29/2018,5,364,5.188067733
Sambro Shallow,10/29/2018,6,268,3.359916
Sambro Shallow,10/29/2018,7,308,3.7701895
Sambro Shallow,10/29/2018,8,288,3.060123733
Sambro Shallow,10/29/2018,9,260,5.684171037
TH Deep,8/2/2018,1,344,6.016732
TH Deep,8/2/2018,2,276,3.667741
TH Deep,8/2/2018,3,256,3.920526222
TH Deep,8/2/2018,4,416,4.061851733
TH Deep,8/2/2018,5,256,2.913066667
TH Deep,8/2/2018,6,376,3.542578
TH Deep,8/2/2018,7,160,1.703004444
TH Deep,8/2/2018,8,312,3.325885333
TH Deep,8/2/2018,9,328,4.88228
TH Deep,8/2/2018,10,248,2.492351778
TH Deep,9/7/2018,1,192,2.753627022
TH Deep,9/7/2018,2,360,5.93422
TH Deep,9/7/2018,3,228,4.046366667
TH Deep,9/7/2018,4,168,2.71803
TH Deep,9/7/2018,5,144,2.021596
TH Deep,9/7/2018,6,160,3.732937482
TH Deep,9/7/2018,7,208,2.239686222
TH Deep,9/7/2018,8,320,5.306377482
TH Deep,9/7/2018,9,156,2.859289333
TH Deep,9/7/2018,10,524,6.800384667
TH Deep,7/10/2018,1,324,2.9925168
TH Deep,7/10/2018,2,256,4.0861184
TH Deep,7/10/2018,3,340,2.80551
TH Deep,7/10/2018,4,416,3.978164859
TH Deep,7/10/2018,5,296,2.4980032
TH Deep,7/10/2018,6,312,2.251617333
TH Deep,7/10/2018,7,208,1.526581333
TH Deep,7/10/2018,8,248,2.445811822
TH Deep,7/10/2018,9,336,2.623542756
TH Deep,7/10/2018,10,264,1.419702044
TH Deep,12/10/2018,1,144,1.3607968
TH Deep,12/10/2018,2,160,1.116284444
TH Deep,12/10/2018,3,96,0.8755296
TH Deep,12/10/2018,4,208,2.674520526
TH Deep,12/10/2018,5,260,2.337922889
TH Deep,12/10/2018,6,144,1.106053333
TH Deep,12/10/2018,7,160,1.730538667
TH Deep,12/10/2018,8,272,2.853106726
TH Deep,6/19/2018,1,184,1.034311704
TH Deep,6/19/2018,2,236,1.408185778
TH Deep,6/19/2018,3,248,1.45182323
TH Deep,6/19/2018,4,184,2.07368443
TH Deep,6/19/2018,5,196,2.039915733
TH Deep,6/19/2018,6,304,4.395290548
TH Deep,6/19/2018,7,248,3.419695882
TH Deep,6/19/2018,8,208,2.043854222
TH Deep,6/19/2018,9,312,2.846792
TH Deep,6/19/2018,10,208,1.604408
TH Deep,5/22/2018,1,160,1.116608889
TH Deep,5/22/2018,2,240,1.595932444
TH Deep,5/22/2018,3,192,1.340074667
TH Deep,5/22/2018,4,208,1.256932444
TH Deep,5/22/2018,5,272,1.480768
TH Deep,5/22/2018,6,288,1.4342
TH Deep,5/22/2018,7,176,1.225158163
TH Deep,5/22/2018,8,272,1.723074667
TH Deep,5/22/2018,9,240,1.756145778
TH Deep,5/22/2018,10,368,2.748244444
TH Deep,10/23/2018,1,176,1.389739674
TH Deep,10/23/2018,2,172,3.084884978
TH Deep,10/23/2018,3,168,2.5018784
TH Deep,10/23/2018,4,160,3.217567407
TH Deep,10/23/2018,5,164,2.643472267
TH Deep,10/23/2018,6,200,4.019068148
TH Deep,10/23/2018,7,180,4.078396
TH Deep,10/23/2018,8,132,2.243028089
TH Deep,10/23/2018,9,220,5.2343775
TH Deep,10/23/2018,10,208,4.720563082
TH Deep,4/24/2019,1,112,0.496745304
TH Deep,4/24/2019,2,176,0.649353956
TH Deep,4/24/2019,3,128,0.553104356
TH Deep,4/24/2019,4,144,0.80566
TH Deep,4/24/2019,5,208,1.397767704
TH Deep,4/24/2019,6,128,0.406007467
TH Deep,6/24/2019,1,256,1.827634252
TH Deep,6/24/2019,2,128,1.596273778
TH Deep,6/24/2019,3,128,1.081067141
TH Deep,6/24/2019,4,160,1.408303407
TH Deep,6/24/2019,5,144,1.513036267
TH Deep,6/24/2019,6,168,1.695835556
TH Deep,6/24/2019,7,120,1.080243333
TH Deep,6/24/2019,8,184,1.517555674
TH Shallow,8/2/2018,1,892,8.441888
TH Shallow,8/2/2018,2,484,5.545994667
TH Shallow,8/2/2018,3,240,3.469312
TH Shallow,8/2/2018,4,304,4.476996741
TH Shallow,8/2/2018,5,208,3.926040444
TH Shallow,8/2/2018,6,320,4.379316148
TH Shallow,8/2/2018,7,404,4.974553
TH Shallow,8/2/2018,8,408,3.983119644
TH Shallow,8/2/2018,9,308,3.980335333
TH Shallow,8/2/2018,10,280,3.966231111
TH Shallow,9/7/2018,1,832,13.59499556
TH Shallow,9/7/2018,2,196,3.580092444
TH Shallow,9/7/2018,3,452,5.878938
TH Shallow,9/7/2018,4,504,7.42791
TH Shallow,9/7/2018,5,400,4.628283333
TH Shallow,9/7/2018,6,580,11.88682933
TH Shallow,9/7/2018,7,436,7.394124
TH Shallow,9/7/2018,8,692,12.69682561
TH Shallow,9/7/2018,9,576,8.544928
TH Shallow,9/7/2018,10,564,8.434996
TH Shallow,7/10/2018,1,520,4.142065778
TH Shallow,7/10/2018,2,740,6.044846222
TH Shallow,7/10/2018,3,408,5.278001333
TH Shallow,7/10/2018,4,196,2.069381793
TH Shallow,7/10/2018,5,260,1.393243704
TH Shallow,7/10/2018,6,292,3.387175667
TH Shallow,7/10/2018,7,328,3.122341333
TH Shallow,7/10/2018,8,516,3.761840667
TH Shallow,7/10/2018,9,360,2.934438
TH Shallow,7/10/2018,10,296,3.760466222
TH Shallow,12/10/2018,1,432,4.8065004
TH Shallow,12/10/2018,2,320,3.268404148
TH Shallow,12/10/2018,3,208,1.660696652
TH Shallow,12/10/2018,4,336,2.932474844
TH Shallow,12/10/2018,5,240,1.699253333
TH Shallow,12/10/2018,6,176,1.483492267
TH Shallow,12/10/2018,7,208,1.171764148
TH Shallow,12/10/2018,8,320,2.354119111
TH Shallow,12/10/2018,9,224,2.043312652
TH Shallow,6/19/2018,1,704,3.298983111
TH Shallow,6/19/2018,2,480,2.420110222
TH Shallow,6/19/2018,3,256,1.448120889
TH Shallow,6/19/2018,4,336,2.143110667
TH Shallow,6/19/2018,5,304,1.678485333
TH Shallow,6/19/2018,6,480,2.850133333
TH Shallow,6/19/2018,7,720,3.583296
TH Shallow,6/19/2018,8,624,4.306293333
TH Shallow,6/19/2018,9,400,1.808136296
TH Shallow,6/19/2018,10,480,4.762
TH Shallow,5/22/2018,1,544,2.842430222
TH Shallow,5/22/2018,2,192,1.24748
TH Shallow,5/22/2018,3,288,1.534032
TH Shallow,5/22/2018,4,240,0.823573333
TH Shallow,5/22/2018,5,304,1.655786667
TH Shallow,5/22/2018,6,336,1.178456533
TH Shallow,5/22/2018,7,464,1.988270074
TH Shallow,5/22/2018,8,480,2.194088
TH Shallow,5/22/2018,9,512,3.005610667
TH Shallow,5/22/2018,10,528,2.944706844
TH Shallow,10/23/2018,1,160,1.485189333
TH Shallow,10/23/2018,2,176,1.726092622
TH Shallow,10/23/2018,3,160,2.291767111
TH Shallow,10/23/2018,4,232,2.974765867
TH Shallow,10/23/2018,5,176,2.814398889
TH Shallow,10/23/2018,6,296,3.647210044
TH Shallow,10/23/2018,7,292,4.228385489
TH Shallow,10/23/2018,8,500,5.338666667
TH Shallow,10/23/2018,9,388,4.6364836
TH Shallow,10/23/2018,10,344,3.948107111
TH Shallow,4/24/2019,1,192,0.446108444
TH Shallow,4/24/2019,2,128,0.327205926
TH Shallow,4/24/2019,3,160,0.434866963
TH Shallow,4/24/2019,4,224,0.837312
TH Shallow,4/24/2019,5,240,1.758506667
TH Shallow,4/24/2019,6,112,0.466766222
TH Shallow,6/24/2019,1,400,1.927648889
TH Shallow,6/24/2019,2,440,3.259898889
TH Shallow,6/24/2019,3,412,4.185892533
TH Shallow,6/24/2019,4,376,2.582699437
TH Shallow,6/24/2019,5,436,2.683848059
TH Shallow,6/24/2019,6,640,3.610125037
TH Shallow,6/24/2019,7,328,1.436612667
TH Shallow,6/24/2019,8,564,3.31632
